Input numeric,Output numeric,Inquiry numeric,File numeric,FPAdj numeric,RawFPcounts numeric,AdjFP numeric,Effort numeric
25,150,75,60,1.00,1.750,1.750,102.4
193,98,70,36,1.00,1.902,1.902,105.2
70,27,0,12,0.80,535.000,428.000,11.1
40,60,20,12,1.00,660.000,759.000,21.1
10,69,1,9,0.90,478.890,431.000,28.8
13,19,0,23,0.75,377.330,283.000,10.0
34,14,0,5,0.80,256.250,205.000,8.0
17,17,15,5,1.00,262.730,289.000,4.9
45,64,14,16,0.95,715.790,680.000,12.9
40,60,20,15,1.15,690.430,794.000,19.0
41,27,29,5,1.10,465.450,512.000,10.8
33,17,8,5,0.75,298.670,224.000,2.9
28,41,16,11,0.85,490.590,417.000,7.5
43,40,20,35,0.85,802.350,682.000,12.0
7,12,13,8,0.95,220.000,209.000,4.0
28,38,24,9,1.05,487.620,512.000,16.0
42,57,12,5,1.10,550.910,606.000,18.3
27,20,24,6,1.10,363.640,400.000,8.9
48,66,13,50,1.15,1073.910,1235.000,38.1
69,112,21,39,1.20,1310.000,1572.000,61.2
25,28,4,22,1.05,476.190,500.000,3.6
61,68,0,11,1.00,694.000,694.000,11.8
15,15,6,3,1.05,189.520,199.000,0.5
12,15,0,15,0.95,273.680,260.000,6.1